mobility	selfcare	activity	pain	anxiety	EQ5Dindex
1	4	5	2	1	0.333
1	4	5	2	2	0.308
1	4	5	2	3	0.301
1	4	5	2	4	0.263
1	4	5	2	5	0.223
1	4	5	3	1	0.319
1	4	5	3	2	0.293
1	4	5	3	3	0.287
1	4	5	3	4	0.248
1	4	5	3	5	0.209
1	4	5	4	1	0.264
1	4	5	4	2	0.238
1	4	5	4	3	0.232
1	4	5	4	4	0.194
1	4	5	4	5	0.154
1	4	5	5	1	0.182
1	4	5	5	2	0.156
1	4	5	5	3	0.150
1	4	5	5	4	0.111
1	4	5	5	5	0.072
1	5	1	1	1	0.417
1	5	1	1	2	0.392
1	5	1	1	3	0.385
1	5	1	1	4	0.347
1	5	1	1	5	0.307
1	5	1	2	1	0.359
1	5	1	2	2	0.334
1	5	1	2	3	0.327
1	5	1	2	4	0.289
1	5	1	2	5	0.249
1	5	1	3	1	0.345
1	5	1	3	2	0.320
1	5	1	3	3	0.313
1	5	1	3	4	0.275
1	5	1	3	5	0.235
1	5	1	4	1	0.290
1	5	1	4	2	0.265
1	5	1	4	3	0.258
1	5	1	4	4	0.220
1	5	1	4	5	0.180
1	5	1	5	1	0.208
1	5	1	5	2	0.183
1	5	1	5	3	0.176
1	5	1	5	4	0.138
1	5	1	5	5	0.098
1	5	2	1	1	0.370
1	5	2	1	2	0.344
1	5	2	1	3	0.338
1	5	2	1	4	0.299
1	5	2	1	5	0.260
1	5	2	2	1	0.312
1	5	2	2	2	0.287
1	5	2	2	3	0.280
1	5	2	2	4	0.242
1	5	2	2	5	0.202
1	5	2	3	1	0.298
1	5	2	3	2	0.272
1	5	2	3	3	0.266
1	5	2	3	4	0.227
1	5	2	3	5	0.188
1	5	2	4	1	0.243
1	5	2	4	2	0.218
1	5	2	4	3	0.211
1	5	2	4	4	0.173
1	5	2	4	5	0.133
1	5	2	5	1	0.161
1	5	2	5	2	0.135
1	5	2	5	3	0.129
1	5	2	5	4	0.090
1	5	2	5	5	0.051
1	5	3	1	1	0.358
1	5	3	1	2	0.333
1	5	3	1	3	0.326
1	5	3	1	4	0.288
1	5	3	1	5	0.248
1	5	3	2	1	0.300
1	5	3	2	2	0.275
1	5	3	2	3	0.268
1	5	3	2	4	0.230
1	5	3	2	5	0.190
1	5	3	3	1	0.286
1	5	3	3	2	0.261
1	5	3	3	3	0.254
1	5	3	3	4	0.216
1	5	3	3	5	0.176
1	5	3	4	1	0.231
1	5	3	4	2	0.206
1	5	3	4	3	0.199
1	5	3	4	4	0.161
1	5	3	4	5	0.121
1	5	3	5	1	0.149
1	5	3	5	2	0.124
1	5	3	5	3	0.117
1	5	3	5	4	0.079
1	5	3	5	5	0.039
1	5	4	1	1	0.339
1	5	4	1	2	0.313
1	5	4	1	3	0.307
1	5	4	1	4	0.268
1	5	4	1	5	0.229
1	5	4	2	1	0.281
1	5	4	2	2	0.256
1	5	4	2	3	0.249
1	5	4	2	4	0.211
1	5	4	2	5	0.171
1	5	4	3	1	0.267
1	5	4	3	2	0.241
1	5	4	3	3	0.235
1	5	4	3	4	0.196
1	5	4	3	5	0.157
